sha,message,jaccard_score,rater1_labels,rater2_labels,only_rater1,only_rater2,common_labels
137bfc52cec50932cdfd9b224abf88f0eb6391b2,"test(infrastructure): reorganize test suite and fix broken tests

- Restructure test directory from flat to hierarchical organization:
  • Created tests/unit/, tests/integration/, tests/performance/, tests/fixtures/
  • Added comprehensive __init__.py files with documentation
  • Moved all test files to organized structure

- Enhance pytest configuration for clean, readable output:
  • Updated pyproject.toml with optimized pytest settings
  • Added clean output formatting, disabled warnings, shortened tracebacks
  • Created scripts/test.sh for multiple test execution modes
  • Fixed cryptic test output with human-readable summary format

- Fix broken tests across multiple components:
  • Resolved API key validation issues (valid-length test keys)
  • Fixed crawling provider method signatures and return values
  • Corrected embedding provider async mock setup and parameters
  • Updated config loader to use local providers for testing
  • Fixed EmbeddingManager config attribute references

- Create comprehensive GitHub issues for remaining test work:
  • Issue #70: Embedding provider comprehensive testing
  • Issue #71: Crawling provider and manager testing
  • Issue #72: DragonflyDB cache performance validation
  • Issue #73: MCP server and integration testing
  • Issue #74: Core component test coverage

- Update documentation:
  • Enhanced CLAUDE.md with new test commands and structure
  • Updated TODO.md with complete session progress
  • Added test organization and GitHub issue tracking

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0.0,"Complex, Long, or Inadequate Logic​, Inadequate Logging and Monitoring​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,"Complex, Long, or Inadequate Logic​, Inadequate Logging and Monitoring​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,
140857bfc359941658212171973d9287b43a5b31,Improve readability of discrete simulator,0.25,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​","Bad Identifier​, Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​",Inconsistent or Disrupted Formatting​,"Bad Identifier​, Complex, Long, or Inadequate Logic​",Incomplete or Inadequate Code Documentation​
144b96986ecf85bd7e5de96c1d2742d95d6da39e,"Refactor AISuiteLLM to include tools parameter in completion methods

- Update the _prepare_completion_params method to accept an optional tools parameter
- Modify the chat completion method to utilize the new tools parameter for enhanced functionality
- Clean up print statements for better code clarity",0.3333333333333333,"Bad Identifier​, Complex, Long, or Inadequate Logic​","Complex, Long, or Inadequate Logic​, Unnecessary Code​",Bad Identifier​,Unnecessary Code​,"Complex, Long, or Inadequate Logic​"
14b01dd37459ea99906b6606237ba32b080781a0,Add human_readable_size util and tests,0.0,"Bad Identifier​, Complex, Long, or Inadequate Logic​",,"Bad Identifier​, Complex, Long, or Inadequate Logic​",,
15dee211530ca41fda40fb36c4f7406910095c46,Refactor access point registration in OSM tests for improved readability,0.3333333333333333,"Bad Identifier​, Complex, Long, or Inadequate Logic​","Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​",Bad Identifier​,Incomplete or Inadequate Code Documentation​,"Complex, Long, or Inadequate Logic​"
1fdc825535d66e5c30bd56e718f6ba0e834e25ad,Improve log readability,0.0,Inadequate Logging and Monitoring​,,Inadequate Logging and Monitoring​,,
2097df0f41c0e665e1dbba6b88e65d03755275a7,Refactor code structure and remove redundant changes for improved readability and maintainability,0.3333333333333333,"Complex, Long, or Inadequate Logic​, Unnecessary Code​","Bad Identifier​, Unnecessary Code​","Complex, Long, or Inadequate Logic​",Bad Identifier​,Unnecessary Code​
20ea2cb43027df70377f2e125be7b04f5f28f6c0,"style: improve code quality in sql_agent examples

- Add module docstrings for better documentation
- Remove unused imports
- Fix f-string formatting issues
- Standardize variable naming conventions
- Improve code readability and formatting
- Ensure consistent model name (gpt-4o)

Co-Authored-By: Soham Ganatra <soham@composio.dev>",0.25,"Bad Identifier​, Inconsistent or Disrupted Formatting​","Bad Identifier​, Incomplete or Inadequate Code Documentation​, Unnecessary Code​",Inconsistent or Disrupted Formatting​,"Incomplete or Inadequate Code Documentation​, Unnecessary Code​",Bad Identifier​
222aa4620995b370e3826c1d8d9969882a7a66ab,refactor: Update test cases and configuration for improved clarity and functionality,0.0,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,
22306b1ee1558baaefdfb3b1a22ef9972b793d5e,Improve timeline tag readability,0.0,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",Inadequate Logging and Monitoring​,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",Inadequate Logging and Monitoring​,
22907851fef89b1fac47632c6a03d500fc58add3,"feat ✨: Enhance commit message with detailed context

This commit update the commit message to provide a more detailed explanation of the changes made in the `cli.py`, `client.py`, `config.py`, and `utils.py` files. The new message includes a description of the changes, their type (feat), and the related commits for reference. This enhancement improves readability and helps future contributors quickly understand the scope and impact of these changes.",0.0,Incomplete or Inadequate Code Documentation​,Inconsistent or Disrupted Formatting​,Incomplete or Inadequate Code Documentation​,Inconsistent or Disrupted Formatting​,
246a757132d4401ef2aa0acf460d30e8f4b94d8e,"Enhance AI rules documentation and scripts for better maintainability and clarity

- Updated AI rules documentation across multiple files to include notes for maintainers and detailed setup instructions.
- Improved the Makefile to streamline AI rules generation and testing commands.
- Enhanced the `generate_ai_rules.py` script to filter content based on target AI assistant types, ensuring appropriate sections are included or excluded.
- Added related ADR references in existing ADR documents for better traceability.",0.0,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,
2b3e1cd551135d9529c07a94f52f11aa3a822a77,"refactor(services): modernize service layer from classes to functions with DI

- Transform 50+ complex service classes into simple functions with dependency injection
- Replace abstract base classes and inheritance hierarchies with functional composition
- Implement pure functions for rate limiting, monitoring, auto-detection, deployment
- Add FastAPI Depends() for clean dependency injection throughout
- Create backward compatibility wrappers to maintain existing API contracts
- Preserve all critical functionality: 5-tier browser automation, RAG, AI tracking

BREAKING CHANGE: Service layer now uses functional programming patterns

Performance improvements:
- 60% reduction in service layer complexity
- Simplified testing and maintenance
- Better separation of concerns
- Improved code readability

Files modified:
- src/services/functional/: New functional service modules (4 files, ~800 lines)
- src/infrastructure/client_manager.py: Updated to use functional services
- src/unified_mcp_server.py: Modernized monitoring initialization
- src/services/dependencies.py: Updated auto-detection imports

🚀 Generated with advanced AI assistance

Co-Authored-By: Advanced AI <noreply@anthropic.com>",0.3333333333333333,"Complex, Long, or Inadequate Logic​, Inconsistent or Disrupted Formatting​, Missing Constant Usage​","Complex, Long, or Inadequate Logic​","Inconsistent or Disrupted Formatting​, Missing Constant Usage​",,"Complex, Long, or Inadequate Logic​"
2c9b9ea72e158bf400bf5d1c74dc82d8ffb48c19,"fix: resolve compilation errors and CI test failures

Swift/iOS fixes:
- Move AuthenticatedUser and AuthResponse to APIModels.swift for proper scope
- Remove duplicate AuthenticatedUser.swift file
- Fix nil contextual type annotation for authenticatedUser
- Update NetworkClient requestData method with proper error handling
- Remove complex token refresh wrapper temporarily to avoid compilation issues

Backend/CI fixes:
- Add fallback import for backend module in test configuration
- Fix Limiter monkeypatch in conftest.py for proper test isolation
- Add JWT package comment for clarity
- Improve error handling in Apple auth service

This resolves all reported compilation errors:
- Cannot find type 'AuthenticatedUser' in scope
- 'nil' requires a contextual type
- Missing argument for parameter #2 in call
- Cannot find type 'AuthResponse' in scope
- Type of expression is ambiguous without a type annotation

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0.3333333333333333,"Complex, Long, or Inadequate Logic​, Inadequate Logging and Monitoring​, Unnecessary Code​","Complex, Long, or Inadequate Logic​","Inadequate Logging and Monitoring​, Unnecessary Code​",,"Complex, Long, or Inadequate Logic​"
2d8c6e70e4763041c1c7e83a5c2c58e6a1aaee8c,"fix: Update task summary format for empty tools and knowledge

- Change empty tools message to 'agent has no tools'
- Remove agent_knowledge field when empty
- Update test assertions to match new format
- Improve test messages for clarity

Co-Authored-By: Joe Moura <joao@crewai.com>",0.0,"Bad Identifier​, Complex, Long, or Inadequate Logic​","Wrong, Missing, or Inadequate String Expression or Literal​","Bad Identifier​, Complex, Long, or Inadequate Logic​","Wrong, Missing, or Inadequate String Expression or Literal​",
2e164c09fb35aa1d3cde86f46aaa0f48fe26fd94,style: improve pie chart label readability,0.0,Inconsistent or Disrupted Formatting​,"Wrong, Missing, or Inadequate String Expression or Literal​",Inconsistent or Disrupted Formatting​,"Wrong, Missing, or Inadequate String Expression or Literal​",
300b4dd7e8f9f72386746b412600412fc1b72b5b,"🧹 Remove unused imports from spiritual router

- Remove unused pydantic imports (BaseModel, Field)
- Remove unused typing imports (Dict, Any, List, Optional)
- Clean up imports after moving remedies endpoint to enhanced router
- Improves code clarity and reduces unnecessary dependencies",0.3333333333333333,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​, Unnecessary Code​",Unnecessary Code​,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,Unnecessary Code​
32da56c68b283ab1f65b4c1baa9e88fe8a58f3de,refactor(data): improve readability and helpers,0.25,"Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​","Complex, Long, or Inadequate Logic​, Missing Constant Usage​, Unnecessary Code​",Incomplete or Inadequate Code Documentation​,"Missing Constant Usage​, Unnecessary Code​","Complex, Long, or Inadequate Logic​"
33039ca421c3444c9076219d461e531e5fbbe2dd,Improve email HTML for readability,0.0,"Bad Identifier​, Inconsistent or Disrupted Formatting​","Wrong, Missing, or Inadequate String Expression or Literal​","Bad Identifier​, Inconsistent or Disrupted Formatting​","Wrong, Missing, or Inadequate String Expression or Literal​",
335a59ee84f361551752182a122af9b8a4c1b26e,Refactor ActionHelper for clarity,0.3333333333333333,"Bad Identifier​, Complex, Long, or Inadequate Logic​","Complex, Long, or Inadequate Logic​, Incomplete or Inadequate Code Documentation​",Bad Identifier​,Incomplete or Inadequate Code Documentation​,"Complex, Long, or Inadequate Logic​"
33daa989f5508308db7c1f1eab1764f6b4de87ff,"Fix health monitoring orchestrator reference handling

- Modified startup_event() to return the orchestrator instance explicitly
- Updated unified startup to use the returned orchestrator instead of module import
- This prevents potential issues with incorrect orchestrator references during cleanup
- Improves code clarity by making orchestrator instance management explicit
- Adds proper None checking for failed initialization",0.3333333333333333,"Complex, Long, or Inadequate Logic​, Inadequate Logging and Monitoring​, Inconsistent or Disrupted Formatting​","Complex, Long, or Inadequate Logic​","Inadequate Logging and Monitoring​, Inconsistent or Disrupted Formatting​",,"Complex, Long, or Inadequate Logic​"
34e6444b30e66ade0da1521ff3dcf151d1b90057,"foundation/_: implement complete infrastructure with geometry, patterns, and web preview

This foundation implementation establishes the core infrastructure for the Luminary project:

## Geometry Module
- Complete geometric processing pipeline for polyhedral structures
- Point operations with vector math and coordinate transformations
- Triangle subdivision and kite-based geometry for icosahedral forms
- Facet system supporting triangles, kites, and trapezoids
- Beam generation with dual-extent positioning along facet edges
- Net class managing geometric hierarchy with 6,300+ beams
- Coordinate mapping from 3D geometry to beam arrays

## Static SVG Rendering System
- SVG export with geometric structure visualization
- Beam polygons with positioning and OKLCH color support
- Facet edge line rendering for structure clarity
- Extended mode showing beam IDs and relationships
- Responsive viewport sizing and presentation
- Validation framework with automated test generation

## Patterns Module
- Pattern development framework with base classes
- BeamArrayBuilder for numpy-based beam data structures
- Pattern discovery system with automatic file scanning
- OKLCH color space integration for color control
- Schema definitions for beam array column access
- Mathematical pattern implementations (ripple, spiral, wave, breathe)

## Web Preview and Animation System
- FastAPI server with WebSocket streaming for real-time animation
- Frame generation at 30+ FPS with vectorized numpy operations
- Concurrent client broadcasting with timeout protection
- HTML5 client with pattern selector and live visualization
- Client-side frame handling with immediate rendering
- Real-time pattern switching and example collection

## Configuration and Validation
- JSON configuration system for geometric parameters
- Validation suite with visual output generation
- Pentagon-based configurations (3A-33, 4A-31, 4A-35, 5A-35)
- Test coverage across all modules
- Performance optimizations achieving 22+ FPS with 6,300 beam updates

This foundation enables geometric pattern generation with real-time web visualization and establishes architecture for light installation control systems.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0.0,"Complex, Long, or Inadequate Logic​, Inadequate Logging and Monitoring​, Inconsistent or Disrupted Formatting​",,"Complex, Long, or Inadequate Logic​, Inadequate Logging and Monitoring​, Inconsistent or Disrupted Formatting​",,
377317431ee1e0b2b5a8dbf21651100c2c2ac58b,Improve text readability,0.0,Inconsistent or Disrupted Formatting​,"Wrong, Missing, or Inadequate String Expression or Literal​",Inconsistent or Disrupted Formatting​,"Wrong, Missing, or Inadequate String Expression or Literal​",
385e49a0701792bc7cae4c59f48df9aae9968c68,"Fix linter error and improve comment clarity in match prediction

Co-authored-by: dyilmaz156 <dyilmaz156@gmail.com>",0.0,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",Unnecessary Code​,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",Unnecessary Code​,
3aaa6d008e6f0fd185e87f98a6d2126962c609c8,"Refactor config comments for better readability and line wrapping

Co-authored-by: zohair.ul.hasan <zohair.ul.hasan@gmail.com>",0.0,Incomplete or Inadequate Code Documentation​,Inconsistent or Disrupted Formatting​,Incomplete or Inadequate Code Documentation​,Inconsistent or Disrupted Formatting​,
3aed20329d29ef7ad64eab74f524934b45027015,"Refactor country list display with improved formatting and readability

Co-authored-by: albertmaxer6 <albertmaxer6@gmail.com>",0.0,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,"Incomplete or Inadequate Code Documentation​, Inconsistent or Disrupted Formatting​",,
3be3b29cd4d941d630323d4e66d267678ac6a3ea,"DOC-401 Expand exporter docs

Adds usage notes to exporter module for clarity.",0.0,Missing Constant Usage​,,Missing Constant Usage​,,
4288cc96729e94f279a6eb24bce8a9e16bc82957,Refactor solver for clarity,0.3333333333333333,"Complex, Long, or Inadequate Logic​, Inconsistent or Disrupted Formatting​","Bad Identifier​, Complex, Long, or Inadequate Logic​",Inconsistent or Disrupted Formatting​,Bad Identifier​,"Complex, Long, or Inadequate Logic​"
4a75c09b1f49c06bcbf72f59ff44a667f6b906ec,Refactor test cases with Arrange-Act-Assert pattern and improve readability,0.0,"Complex, Long, or Inadequate Logic​",,"Complex, Long, or Inadequate Logic​",,
524501fdd2f7d244da34510d1e5791bcd6e3ca05,Merge branch 'main' into codex/add-comments-for-code-clarity-2025-07-20,0.0,Incomplete or Inadequate Code Documentation​,,Incomplete or Inadequate Code Documentation​,,
